County,Cases,Percentage,Published_date,Source,3
Leitrim,242,+3,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Limerick,2317,+31,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Longford,605,+3,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Louth,1812,+29,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Mayo,1300,+9,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Meath,3144,+13,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Monaghan,1167,+7,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Offaly,1080,+17,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Roscommon,847,+2,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Sligo,694,+4,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Tipperary,1330,+11,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Waterford,838,+11,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Westmeath,1475,+7,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Wexford,1141,+3,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Wicklow,1388,+13,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Carlow,578,+3,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Cavan,2103,+7,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Clare,1386,+7,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Cork,5840,+8,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Donegal,2443,+21,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Dublin,25042,+82,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Galway,2434,+2,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Kerry,1221,+1,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Kildare,3865,+14,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Kilkenny,855,+7,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Laois,911,+7,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Leitrim,239,No change,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Limerick,2286,+16,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Longford,602,+2,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Louth,1783,+12,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Mayo,1291,+3,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Meath,3131,+12,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Monaghan,1160,+2,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Offaly,1071,+1,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Roscommon,845,+18,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Sligo,690,+4,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Tipperary,1319,+17,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Waterford,827,+11,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Westmeath,1468,+4,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Wexford,1138,+3,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Wicklow,1357,+2,,https://www.gov.ie/en/press-release/8cdea-statement-from-the-national-public-health-emergency-team-wednesday-11-november/,
Carlow,575,+2,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Cavan,2096,+4,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Clare,1379,+7,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Cork,5832,+10,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Donegal,2422,+20,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Dublin,24960,+76,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Galway,2432,+3,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Kerry,1220,+5,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Kildare,3851,-1,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Kilkenny,848,+8,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Laois,904,+5,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Leitrim,239,+2,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Limerick,2270,+32,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Longford,600,+1,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Louth,1771,+7,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Mayo,1288,+5,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Meath,3119,+7,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Monaghan,1158,+2,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Offaly,1070,+3,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Roscommon,827,+8,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Sligo,686,+3,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Tipperary,1302,+9,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Waterford,816,+4,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Westmeath,1464,+4,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Wexford,1135,+3,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Wicklow,1355,+1,,https://www.gov.ie/en/press-release/cdf82-statement-from-the-national-public-health-emergency-team-tuesday-10-november/,
Carlow,573,+6,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Cavan,2092,+3,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Clare,1372,+8,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Cork,5822,+35,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Donegal,2402,+59,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Dublin,24884,+179,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Galway,2429,+7,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Kerry,1215,+18,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Kildare,3852,+26,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Kilkenny,840,+8,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Laois,899,+18,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Leitrim,237,+4,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Limerick,2238,+48,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Longford,599,+6,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Louth,1764,+9,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Mayo,1283,+5,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Meath,3112,+18,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Monaghan,1156,+4,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Offaly,1067,+16,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Roscommon,819,No change,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Sligo,683,+8,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Tipperary,1293,+16,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Waterford,812,+3,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Westmeath,1460,+9,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Wexford,1132,+6,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Wicklow,1354,+18,,https://www.gov.ie/en/press-release/11fa0-statement-from-the-national-public-health-emergency-team-monday-9-november/,
Carlow,567,+3,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Cavan,2089,No change,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Clare,1364,+9,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Cork,5787,+25,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Donegal,2343,+41,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Dublin,24705,+72,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Galway,2422,+12,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Kerry,1197,+23,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Kildare,3826,+6,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Kilkenny,832,+21,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Laois,881,+8,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Leitrim,233,+3,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Limerick,2190,+18,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Longford,593,+2,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Louth,1755,+6,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Mayo,1278,+26,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Meath,3094,+10,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Monaghan,1152,+4,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Offaly,1051,No change,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Roscommon,819,+2,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Sligo,675,+5,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Tipperary,1277,+7,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Waterford,809,+17,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Westmeath,1451,+3,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Wexford,1126,+6,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Wicklow,1336,+3,,https://www.gov.ie/en/press-release/a4866-statement-from-the-national-public-health-emergency-team-sunday-8-november/,
Carlow,564,+2,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Cavan,2089,+6,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Clare,1355,+21,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Cork,5762,+70,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Donegal,2302,+16,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Dublin,24633,+174,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Galway,2410,+19,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Kerry,1174,+10,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Kildare,3820,+9,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Kilkenny,811,+5,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Laois,873,+16,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Leitrim,230,No change,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Limerick,2172,+21,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Longford,591,+3,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Louth,1749,+12,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Mayo,1252,+26,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Meath,3084,+21,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Monaghan,1148,+17,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Offaly,1051,+7,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Roscommon,817,+7,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Sligo,670,+1,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Tipperary,1270,+12,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Waterford,792,+2,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Westmeath,1448,+4,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Wexford,1120,-2,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Wicklow,1333,+3,,https://www.gov.ie/en/press-release/1285a-statement-from-the-national-public-health-emergency-team-saturday-7-november/,
Carlow,562,+6,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Cavan,2083,+5,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Clare,1334,+14,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Cork,5692,+50,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Donegal,2286,+75,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Dublin,24459,+116,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Galway,2391,+22,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Kerry,1164,+46,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Kildare,3811,+21,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Kilkenny,806,+12,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Laois,857,+7,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Leitrim,230,No change,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Limerick,2151,+44,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Longford,588,+7,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Louth,1737,+13,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Mayo,1226,+16,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Meath,3063,+34,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Monaghan,1131,+2,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Offaly,1044,+3,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Roscommon,810,+2,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Sligo,669,+13,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Tipperary,1258,+13,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Waterford,790,+17,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Westmeath,1444,+10,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Wexford,1122,+21,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Wicklow,1330,+14,,https://www.gov.ie/en/press-release/e28c3-statement-from-the-national-public-health-emergency-team-friday-6-november/,
Carlow,556,No change,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Cavan,2078,+3,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Clare,1320,+7,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Cork,5642,+47,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Donegal,2211,+16,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Dublin,24343,+145,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Galway,2369,+35,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Kerry,1118,+20,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Kildare,3790,+12,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Kilkenny,794,+11,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Laois,850,+4,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Leitrim,230,No change,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Limerick,2107,+26,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Longford,581,+1,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Louth,1724,+7,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Mayo,1210,+12,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Meath,3029,+20,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
Monaghan,1129,+3,,https://www.gov.ie/en/press-release/a4853-statement-from-the-national-public-health-emergency-team-thursday-5-november/,
